,Summary,Precip.Type,Temperature..C.,Apparent.Temperature..C.,Humidity,Wind.Speed..km.h.,Wind.Bearing..degrees.,Visibility..km.,Pressure..millibars.
83,Overcast,rain,7.205555556,3.233333333,0.86,26.5328,339,11.27,1004.18
84,Mostly Cloudy,rain,7.566666667,3.544444444,0.84,28.336,339,10.5455,1004.23
85,Mostly Cloudy,rain,8.9,5.161111111,0.77,29.8333,348,11.27,1004.47
86,Mostly Cloudy,rain,9.961111111,6.644444444,0.71,28.4809,339,11.27,1004.52
87,Mostly Cloudy,rain,9.888888889,6.55,0.71,28.5131,338,11.0768,1004.29
88,Mostly Cloudy,rain,11.06666667,11.06666667,0.71,25.6956,320,11.27,1003.93
89,Overcast,rain,10.11666667,10.11666667,0.76,25.3414,311,11.27,1004
90,Overcast,rain,11.03888889,11.03888889,0.66,21.413,311,9.982,1004.3
91,Overcast,rain,10.65,10.65,0.7,17.8549,310,14.9086,1004
92,Overcast,rain,10.05,10.05,0.7,15.1984,328,9.982,1004.39
93,Mostly Cloudy,rain,9.9,7.716666667,0.66,15.7297,348,11.0285,1005.48
94,Overcast,rain,8.794444444,6.816666667,0.71,12.3648,20,9.982,1005.89
95,Mostly Cloudy,rain,7.827777778,5.405555556,0.72,13.8943,28,15.8263,1006.37
96,Overcast,rain,7.855555556,6.122222222,0.72,9.8049,11,15.0052,1006.56
97,Mostly Cloudy,rain,7.316666667,6.211111111,0.75,6.6654,326,15.8746,1007.07
98,Overcast,rain,7.244444444,6.005555556,0.75,7.1162,309,15.8746,1007.37
99,Partly Cloudy,rain,5.438888889,5.438888889,0.88,3.7191,193,9.982,1012.23
100,Overcast,rain,7.2,4.55,0.76,14.4739,273,15.8263,1007.28
